GeberNr,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18
1,0,23,0,0,12,19,4,10,0,11,20,14,0,0,0,4,6,9
2,12,0,4,0,2,0,2,0,9,7,0,0,0,5,0,17,1,17
3,18,11,12,0,17,6,10,12,1,20,10,16,1,20,6,18,6,12
4,6,19,12,11,5,12,14,10,3,0,4,0,0,0,0,0,0,0
5,12,0,14,0,0,4,0,0,0,8,15,0,4,13,0,0,3,3
6,19,8,15,19,11,0,1,11,3,14,11,0,8,7,0,17,16,20
7,0,0,2,18,0,10,0,0,2,0,13,13,0,18,0,19,0,0
8,7,0,0,13,0,18,4,0,0,0,0,0,0,0,15,0,1,12
9,0,0,0,19,0,3,15,0,0,14,0,0,11,2,12,18,0,9
10,1,12,2,19,9,9,1,12,10,0,18,6,11,0,9,19,13,4
11,11,0,5,0,0,0,0,7,0,0,0,0,0,2,0,20,0,20
12,5,5,6,0,8,0,20,5,0,1,9,0,18,5,11,20,7,9
13,0,6,0,1,3,0,0,3,8,0,4,15,0,0,4,15,0,5
14,8,11,23,19,10,19,17,1,16,16,10,15,0,0,10,1,0,6
15,7,5,15,0,20,0,10,0,10,1,0,10,19,9,0,6,6,15
16,14,9,8,14,15,0,4,11,0,18,0,0,14,0,9,0,4,5
17,3,0,0,3,0,0,0,0,0,0,0,0,1,11,11,6,0,16
18,10,6,15,13,3,9,13,19,8,12,17,20,3,4,10,10,9,0
